"H0000200","H0013201","R0000100","R0000149","R0173600","R0214700","R0214800","T2210000","T2210700","T3107800","T3108600","T4112300","T4113100","T5022600","T5023500","T5770800","T5771400","T7743900","T8218700"
2006,2014,9106,9106,13,2,2,-2,12,-1,12,30000,12,-1,12,-1,12,-4,-3
1998,2008,9107,9107,10,2,1,80000,20,62000,20,-2,20,-2,20,-2,20,-5,-5
2002,2012,9108,9108,13,2,2,4160,12,11260,12,3600,12,2364,12,0,12,-4,9864
2004,2014,9109,9109,13,2,2,23800,12,33104,12,18000,12,2172,12,25000,12,-4,25000
2002,2012,9110,9110,10,2,1,54000,12,59000,12,52000,12,37200,12,18000,12,-4,35000
-4,-4,9111,9110,10,2,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2006,2014,9112,9112,10,2,1,49000,15,51000,15,51000,15,48200,15,89056,15,-4,49700
2002,2012,9113,9113,13,2,2,35200,16,64000,16,65000,16,73049,16,76000,16,-4,78041
2004,-4,9114,9114,10,2,1,15000,12,20000,12,-5,-5,-5,-5,-5,-5,-5,-5
2002,2012,9115,9115,13,2,2,80000,14,82000,14,-2,14,100200,14,93000,14,-4,113000
2002,2012,9116,9115,10,2,1,60000,12,12000,12,15000,12,18000,12,18000,12,-4,45000
2000,2008,9117,9117,13,2,2,112000,15,110000,15,110000,15,123000,15,127000,15,-4,138000
-4,-4,9118,9118,12,3,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
-4,-4,9119,9119,12,3,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
-4,-4,9120,9120,10,2,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2006,2010,9121,9120,10,2,1,8000,14,15000,14,16800,14,1980,14,-5,-5,-5,-5
-4,-4,9122,9122,12,3,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
-4,-4,9123,9123,9,3,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
-4,-4,9124,9124,12,3,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
-4,-4,9125,9124,9,3,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
-4,-4,9126,9126,12,3,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
-4,-4,9127,9127,12,3,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
-4,-4,9128,9128,9,3,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
-4,-4,9129,9129,12,3,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
-4,-4,9130,9129,9,3,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
-4,-4,9131,9131,9,3,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
-4,-4,9132,9131,9,3,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
-4,-4,9133,9131,12,3,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
1998,2008,9134,9134,14,1,2,77000,17,72000,17,73000,17,50000,17,50000,17,-4,160000
-4,-4,9135,9135,12,3,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
-4,-4,9136,9136,9,3,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
-4,-4,9137,9136,9,3,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
-4,-4,9138,9136,12,3,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
-4,-4,9139,9139,12,3,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
-4,-4,9140,9140,9,3,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
-4,-4,9141,9140,12,3,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
-4,-4,9142,9140,12,3,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
