"H0000200","H0013201","R0000100","R0000149","R0173600","R0214700","R0214800","T2210000","T2210700","T3107800","T3108600","T4112300","T4113100","T5022600","T5023500","T5770800","T5771400","T7743900","T8218700"
1998,2008,1495,1495,5,3,2,66000,12,55000,12,52000,12,24800,12,45000,12,-4,41000
2002,2010,1496,1496,1,3,1,110000,16,112000,16,67000,16,595986,16,-2,16,-4,264000
1998,-4,1497,1497,5,3,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2004,-4,1498,1498,5,3,2,-2,12,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
1998,2008,1499,1499,5,3,2,50005,12,64025,12,63884,12,50002,12,74384,12,-4,70429
2000,2012,1500,1500,1,3,1,58600,12,0,12,62000,12,65000,12,71000,12,-4,70000
2004,2014,1501,1501,1,3,1,118200,17,135400,17,134700,17,148800,17,153000,17,-4,172500
2004,2016,1502,1501,5,3,2,273500,16,-2,16,-5,-5,-5,-5,250000,16,-5,-5
2004,2014,1503,1503,1,3,1,68620,20,-5,-5,-5,-5,113000,20,110000,20,-5,-5
1998,2008,1504,1504,1,3,1,454737,18,440692,18,210000,18,595986,18,135000,18,-4,185000
2000,2008,1505,1505,1,3,1,103500,15,112000,15,108000,15,134000,15,139000,15,-4,170000
2004,2010,1506,1506,1,3,1,87000,12,86000,12,58200,12,45600,12,51600,12,-4,51600
2002,2012,1507,1506,5,3,2,34960,12,53073,12,59928,12,48000,12,67384,12,-4,-3
2004,-4,1508,1506,1,3,1,37000,14,13904,14,30000,14,-5,-5,-5,-5,-5,-5
2000,2008,1509,1509,1,3,1,29450,17,3800,17,54000,17,58000,17,58500,17,-4,75500
2004,2014,1510,1510,5,3,2,61025,16,67050,16,63080,16,43900,16,47000,16,-4,50000
2002,2010,1511,1510,5,3,2,74000,18,77200,18,72450,18,70344,18,54000,18,-4,49260
2002,2010,1512,1512,5,3,2,116020,15,132000,15,115000,15,110500,15,-2,15,-4,165000
-4,-4,1513,1512,1,3,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2000,2010,1514,1514,5,3,2,56000,13,51000,13,28000,13,29200,13,36000,13,-4,43500
2002,2012,1515,1514,1,3,1,123000,12,222000,12,497763,12,595986,12,178000,12,-4,178000
1998,2008,1516,1516,7,2,2,25600,12,1412,12,34104,12,30854,12,32492,12,-4,32000
-4,-4,1517,1517,7,2,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2002,-4,1518,1517,3,2,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2002,2014,1519,1519,7,2,2,45000,12,-5,-5,-5,-5,60000,12,42000,12,-4,65000
1998,2008,1520,1520,3,2,1,33000,12,38000,12,33000,12,38000,12,38000,12,-4,40000
2002,2010,1521,1520,3,2,1,-2,12,94000,12,-5,-5,-5,-5,-5,-5,-5,-5
2000,2010,1522,1520,7,2,2,88000,16,62236,16,46000,16,56500,16,28556,16,-4,35630
-4,-4,1523,1520,3,2,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2002,2012,1524,1524,7,2,2,12337,9,6000,9,12000,9,13000,9,-2,9,-4,18000
2000,2010,1525,1525,5,3,2,51000,12,54000,12,52000,12,49000,12,84000,12,12,54000
1998,-4,1526,1525,1,3,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
1998,2008,1527,1527,3,2,1,42000,12,26000,12,30000,12,35000,12,50000,12,-4,56000
2000,2010,1528,1527,3,2,1,17944,12,45344,12,37116,12,29580,12,49756,12,-4,-3
2002,2010,1529,1529,7,2,2,27000,13,27000,13,22800,13,27000,13,27000,13,-4,-3
2004,2014,1530,1529,7,2,2,72535,15,59006,15,42120,15,-2,15,80000,15,15,-3
2002,2012,1531,1531,5,3,2,67000,12,30000,12,35000,12,32000,12,35000,12,-4,20000
2004,-4,1532,1531,5,3,2,40028,12,-2,12,-5,-5,-5,-5,-5,-5,-5,-5
2004,2012,1533,1533,8,1,2,8375,12,4200,12,11800,12,13275,12,21925,12,-4,9000
2000,2010,1534,1534,8,1,2,133000,13,61000,13,-5,-5,101600,13,116200,13,12,113000
-4,-4,1535,1534,4,1,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
-4,-4,1536,1534,4,1,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2004,2014,1537,1537,4,1,1,65000,12,50000,12,80000,12,30000,12,-5,-5,-4,42000
2004,2014,1538,1538,8,1,2,82000,18,86600,18,114000,18,84000,18,120000,18,-4,240000
2000,2008,1539,1539,6,3,2,53000,12,127500,12,98020,12,133700,12,136000,12,-4,106400
2004,2012,1540,1540,8,1,2,190000,16,162000,16,48100,16,-5,-5,-5,-5,-5,-5
2002,2010,1541,1541,5,3,2,120000,12,76800,12,72000,12,60000,12,45250,12,-4,85000
2002,2012,1542,1541,1,3,1,7200,12,0,12,-1,12,0,12,-2,12,-4,-3
-4,-4,1543,1541,1,3,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
-4,-4,1544,1541,5,3,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2000,2010,1545,1541,1,3,1,15000,12,55870,12,-5,-5,-5,-5,-5,-5,-5,-5
2000,2010,1546,1541,6,3,2,-2,12,28370,12,57000,12,-2,12,85000,12,-4,-3
2000,2010,1547,1547,1,3,1,45430,11,38000,11,38684,11,41560,11,67508,11,-4,76000
2002,2012,1548,1547,5,3,2,2500,10,6000,10,3100,10,6000,10,21000,10,-4,30000
2002,2010,1549,1549,5,3,2,7476,12,10528,12,8376,12,11868,12,9552,12,-5,-5
-4,-4,1550,1550,5,3,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
1998,2008,1551,1551,5,3,2,43000,12,-2,12,40400,12,20660,12,20916,12,-4,24432
1998,2008,1552,1552,5,3,2,72511,16,87274,16,99000,16,0,16,22600,16,-4,22500
2000,2010,1553,1553,5,3,2,-2,12,85160,12,76720,12,58500,12,70000,12,-4,57000
2000,2010,1554,1554,1,3,1,70000,12,53000,12,62000,12,61000,12,82000,12,-4,56000
2002,2012,1555,1554,1,3,1,32100,14,36000,14,36500,14,38000,14,35000,14,-4,45000
2004,2012,1556,1554,1,3,1,73778,12,92286,12,100412,12,98254,12,79467,12,-4,70000
2002,2012,1557,1557,1,3,1,87000,12,72000,12,77000,12,13679,12,38000,12,-4,75000
2004,2014,1558,1557,5,3,2,14000,14,0,14,13080,14,13788,14,14052,14,-4,-3
2000,2010,1559,1559,5,3,2,-2,12,13608,12,61200,12,-2,12,31200,12,-4,53844
2002,2012,1560,1560,1,3,1,20000,12,30000,12,15000,12,3600,12,11820,12,-4,-3
2004,2014,1561,1561,4,1,1,-5,-5,-5,-5,-5,-5,40000,15,30000,15,-4,40000
-4,-4,1562,1562,5,3,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2006,2010,1563,1563,1,3,1,60500,18,82000,18,102200,18,87000,18,105500,18,-4,22000
2000,2010,1564,1564,5,3,2,40120,16,-2,16,38650,16,40027,16,45000,16,-4,51000
-4,2014,1565,1564,1,3,1,-5,-5,-5,-5,-5,-5,68100,18,61000,18,-4,61300
2000,2010,1566,1566,5,3,2,163400,17,96000,17,116500,17,-5,-5,63000,17,-5,-5
1998,2008,1567,1567,1,3,1,88000,14,70000,14,91000,14,110000,14,-5,-5,-4,145000
2002,-4,1568,1567,5,3,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2002,2012,1569,1569,1,3,1,105800,16,111000,16,93000,16,92000,16,98700,16,-4,103400
-4,-4,1570,1569,1,3,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2004,2012,1571,1569,5,3,2,149900,15,52800,15,54000,15,54000,15,120000,15,-4,131400
-4,-4,1572,1572,8,1,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2002,2010,1573,1572,4,1,1,92000,13,58000,13,62000,13,56000,13,66000,13,-4,70000
2002,2012,1574,1574,1,3,1,79000,16,110000,16,95000,16,90000,16,98000,16,-4,100100
1998,2008,1575,1575,1,3,1,454737,14,440692,14,497763,14,595986,14,922631,14,-4,766958
-4,-4,1576,1575,1,3,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2002,2010,1577,1575,1,3,1,70000,12,62000,12,68000,12,73296,12,61500,12,-4,77000
2002,2012,1578,1575,1,3,1,5001,12,35000,12,100,12,1775,12,12000,12,12,45000
2002,2012,1579,1579,5,3,2,65000,12,0,12,36200,12,30000,12,34569,12,-4,35008
2004,-4,1580,1579,1,3,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-4,162000
2002,2012,1581,1581,5,3,2,-2,12,-2,12,-2,12,-2,12,-2,12,-4,-3
2000,-4,1582,1582,1,3,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
1998,2008,1583,1582,5,3,2,-2,12,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2004,2014,1584,1584,5,3,2,40000,15,95150,15,63905,15,30430,15,-5,-5,-5,-5
2002,2012,1585,1585,1,3,1,85000,12,85000,12,95000,12,77935,12,80000,12,-4,100000
2004,2014,1586,1585,5,3,2,102000,16,67160,18,75600,18,76800,18,106800,18,-4,-3
2002,2010,1587,1587,5,3,2,61400,16,60900,16,64000,16,74000,16,85500,16,-4,85950
2002,2012,1588,1587,1,3,1,35000,17,41000,17,118000,17,121000,17,130000,18,-4,142000
2002,2012,1589,1589,5,3,2,90000,16,70000,16,70000,16,95000,16,110000,16,-4,196000
2002,2012,1590,1590,1,3,1,21000,12,19000,12,21000,12,24000,12,25000,12,-5,-5
2004,2014,1591,1590,1,3,1,24000,12,12276,12,21600,12,13200,12,23200,12,-4,49100
2006,2014,1592,1590,5,3,2,32000,12,35000,12,57000,12,55000,12,52000,12,-4,54000
2000,2010,1593,1593,5,3,2,17000,12,23060,12,11030,12,13000,12,-5,-5,-5,-5
1998,-4,1594,1594,1,3,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2004,2012,1595,1594,1,3,1,130000,12,0,12,-2,12,10000,12,-1,12,-4,1000
2000,2010,1596,1596,6,3,2,8062,11,8400,11,10824,11,10956,11,-5,-5,-5,-5
2002,2012,1597,1597,1,3,1,-5,-5,-5,-5,76000,12,67000,12,138000,12,-4,99700
2006,2014,1598,1597,5,3,2,42000,14,58416,14,52000,14,48000,14,46000,14,-4,-3
1998,2008,1599,1599,5,3,2,95234,12,80226,12,27352,12,33076,12,94000,12,-4,56500
1998,2008,1600,1600,6,3,2,46000,16,42000,16,0,16,34000,16,54000,16,-4,33000
2002,-4,1601,1601,1,3,1,454737,16,255000,16,-5,-5,-5,-5,-5,-5,-5,-5
2004,2014,1602,1601,1,3,1,100000,12,49000,12,214400,12,276000,12,258000,12,-4,245000
2000,2008,1603,1603,1,3,1,-1,17,79910,17,-2,17,37000,17,-5,-5,-5,-5
-4,-4,1604,1604,1,3,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2000,2010,1605,1604,5,3,2,78600,12,78100,12,75727,12,83300,12,89000,12,-4,87965
-4,2016,1606,1606,5,3,2,-5,-5,-5,-5,-5,-5,-5,-5,-2,12,-5,-5
1998,2008,1607,1607,5,3,2,41388,12,43660,12,46800,12,53000,12,51400,12,-4,70000
1998,-4,1608,1608,5,3,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
1998,2010,1609,1609,5,3,2,-5,-5,62096,12,126400,12,-5,-5,-5,-5,-5,-5
2000,2008,1610,1610,5,3,2,64000,12,81000,12,87440,12,90000,12,85500,12,-4,60000
-4,2014,1611,1611,1,3,1,-5,-5,-5,-5,-5,-5,174000,16,185000,16,-4,235000
2002,2012,1612,1612,1,3,1,-5,-5,-5,-5,0,15,-5,-5,-5,-5,-5,-5
-4,-4,1613,1612,1,3,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
-4,-4,1614,1614,1,3,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
-4,-4,1615,1614,5,3,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
1998,2008,1616,1616,5,3,2,22025,14,32241,14,34140,14,28800,14,28400,14,-4,37200
2000,2010,1617,1617,5,3,2,31000,12,25000,12,24000,12,28000,12,32000,12,-5,-5
2002,2012,1618,1618,1,3,1,-2,12,50000,12,40805,12,-5,-5,-5,-5,-5,-5
2002,2014,1619,1619,1,3,1,-5,-5,-5,-5,-5,-5,-2,18,159000,18,-5,-5
1998,-4,1620,1619,1,3,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2004,2014,1621,1621,5,3,2,38150,17,38650,17,41050,17,48000,17,49000,17,-4,78300
2000,2008,1622,1621,1,3,1,75000,16,65010,16,78735,16,170000,16,150000,16,-4,150000
2000,2010,1623,1621,5,3,2,1440,17,6000,17,5000,17,11466,17,22668,17,-4,25242
2002,2012,1624,1624,5,3,2,75400,20,212000,20,497763,20,595986,20,922631,20,-4,766958
2004,-4,1625,1624,5,3,2,-2,19,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2004,2014,1626,1626,1,3,1,68000,16,70030,16,93000,16,90000,16,95000,16,-4,126000
2004,2014,1627,1626,1,3,1,-2,12,-2,12,23000,12,-2,12,11150,12,-4,2098
2000,2010,1628,1628,1,3,1,53110,15,64050,15,68200,15,91000,15,50000,15,-4,94600
2002,2012,1629,1628,5,3,2,-2,12,120650,12,110650,12,143500,12,156600,12,-4,171200
2004,2014,1630,1628,1,3,1,120200,15,105000,15,68800,15,64350,15,105020,15,-5,-5
2002,2012,1631,1631,1,3,1,153000,16,148700,16,150500,16,150000,16,-2,16,-4,145000
2004,2014,1632,1631,1,3,1,144050,18,140300,18,174800,18,239000,18,220050,18,-4,255000
2006,2014,1633,1631,5,3,2,172500,20,171000,20,173000,20,189000,20,143000,20,20,130000
2000,2010,1634,1634,5,3,2,136624,16,166776,16,253798,16,196663,16,189219,16,-4,205620
2004,2012,1635,1634,1,3,1,59850,12,50343,12,58709,12,71880,12,66378,12,-4,76570
2004,2012,1636,1634,1,3,1,64000,12,44000,12,63500,12,74000,12,155500,12,-4,79000
2004,2012,1637,1637,1,3,1,72000,12,45000,12,22000,12,86000,12,17000,12,-4,60000
2000,2010,1638,1638,5,3,2,36000,13,19500,13,66000,13,83000,13,0,13,-4,55000
2002,2012,1639,1638,5,3,2,190800,16,252000,16,167000,16,176100,16,200600,16,-4,250200
1998,2008,1640,1640,5,3,2,39658,12,53000,12,64078,12,63000,12,77200,12,-4,-3
1998,2008,1641,1641,4,1,1,-1,12,-1,12,150000,12,-2,12,-2,12,-4,-3
2006,2014,1642,1642,8,1,2,19000,14,21500,14,22000,14,41000,14,72806,14,-4,46075
2000,2010,1643,1643,4,1,1,109000,12,59000,12,81000,12,79000,12,98000,12,-4,88000
2002,2012,1644,1644,4,1,1,14920,15,-2,15,-2,15,7412,15,57232,15,-4,12936
1998,2008,1645,1644,4,1,1,51000,13,14000,13,-5,-5,51200,13,52000,13,-4,50800
2006,2014,1646,1646,8,1,2,52000,14,96000,14,75200,14,81676,14,82000,14,-4,68000
2000,2010,1647,1647,6,3,2,14000,9,13000,9,1729,9,-5,-5,13000,9,-5,-5
2006,2012,1648,1647,6,3,2,36000,9,38400,9,45600,9,-5,-5,-5,-5,-5,-5
2000,2010,1649,1649,8,1,2,13596,11,13632,11,13908,11,15437,11,18250,11,-4,11700
2002,2012,1650,1649,8,1,2,-2,12,44000,12,21000,12,21000,12,23000,12,-4,23000
2004,2014,1651,1651,4,1,1,454737,12,440692,12,497763,12,270000,12,290000,12,-4,340000
2002,-4,1652,1652,5,3,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
1998,2008,1653,1653,1,3,1,105000,16,93000,16,174000,16,146000,16,160000,16,-4,135000
2000,2008,1654,1654,1,3,1,-2,12,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
1998,2008,1655,1655,5,3,2,196140,14,190005,14,497763,14,220500,14,139500,14,-4,233400
2000,2008,1656,1656,5,3,2,-2,12,51100,12,48125,12,63100,12,65000,12,-4,48000
2002,2010,1657,1656,5,3,2,63808,14,-2,14,80000,14,90000,14,79731,14,-4,83284
2004,2012,1658,1656,5,3,2,65000,17,55000,17,66000,17,64100,17,28000,17,-4,40000
2004,2014,1659,1656,1,3,1,34000,14,38000,14,43505,14,-1,14,-1,14,-4,19800
1998,2016,1660,1660,1,3,1,-5,-5,-5,-5,-5,-5,-5,-5,0,13,-4,24000
-4,2012,1661,1660,5,3,2,-5,-5,-5,-5,0,12,8340,12,1558,12,-4,-3
2004,2012,1662,1660,5,3,2,152372,14,2004,14,7260,14,15840,14,-2,14,-4,-3
2004,2014,1663,1660,4,1,1,6800,12,9600,14,9632,14,37684,14,41328,14,-4,76360
2000,2010,1664,1664,4,1,1,-2,12,-1,12,-2,12,27000,12,-2,12,-4,0
-4,-4,1665,1664,4,1,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2004,2014,1666,1664,8,1,2,62000,15,115000,15,52000,15,54000,15,82000,15,-4,146000
2004,2016,1667,1667,1,3,1,-5,-5,-5,-5,-5,-5,-5,-5,24396,11,-4,16248
2000,2010,1668,1668,4,1,1,-1,20,-1,20,-1,20,-1,20,-1,20,-4,766958
-4,-4,1669,1668,4,1,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2004,2014,1670,1670,1,3,1,213001,16,-2,16,172625,16,125200,16,142200,16,-4,150500
-4,-4,1671,1671,5,3,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2004,2014,1672,1671,1,3,1,-5,-5,-2,12,40000,12,-2,12,120000,12,-4,54000
1998,2008,1673,1673,1,3,1,20680,13,14779,13,16724,13,-2,13,30476,13,-4,-3
2004,2014,1674,1673,5,3,2,10000,12,18538,12,0,12,2400,12,-5,-5,-5,-5
2000,2010,1675,1675,5,3,2,207000,18,209000,18,-2,18,252000,18,-2,18,-4,262000
2002,2012,1676,1675,5,3,2,125175,18,-2,18,146300,18,-2,18,189771,18,-4,203000
2004,2014,1677,1675,1,3,1,111700,12,93200,12,115500,12,122700,12,154100,12,-4,156150
-4,-4,1678,1678,1,3,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
-4,-4,1679,1678,1,3,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2002,2012,1680,1680,5,3,2,45400,12,46090,12,79980,12,107000,12,-2,12,-4,26000
2004,-4,1681,1681,1,3,1,-5,-5,-1,16,0,16,-5,-5,-5,-5,-5,-5
2002,2012,1682,1682,1,3,1,19488,14,15120,14,22560,14,24052,14,85760,14,-4,52196
1998,2010,1683,1683,5,3,2,-5,-5,128000,12,162000,12,148000,12,140000,12,-4,150000
-4,-4,1684,1684,1,3,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2000,2008,1685,1685,7,2,2,28000,13,47000,13,36000,13,17719,13,25200,13,-4,-3
2000,2010,1686,1685,3,2,1,10800,11,23100,11,10020,11,10236,11,24320,11,-4,28560
2002,2012,1687,1685,3,2,1,0,10,0,10,9072,10,10248,10,24600,10,-4,11260
-4,-4,1688,1688,7,2,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2000,2012,1689,1689,8,1,2,-5,-5,-5,-5,-1,12,-1,12,-1,12,-5,-5
2000,-4,1690,1690,8,1,2,0,14,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2000,-4,1691,1691,8,1,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
-4,-4,1692,1691,4,1,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2004,-4,1693,1691,4,1,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
-4,-4,1694,1694,8,1,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
-4,2014,1695,1695,4,1,1,77000,11,45720,11,16640,11,14300,11,3000,11,-4,-3
2002,2012,1696,1696,4,1,1,67000,13,68400,13,-2,13,67900,13,66000,13,-4,65000
-4,-4,1697,1696,4,1,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2006,2014,1698,1696,4,1,1,14400,12,15600,12,14400,12,14556,12,75360,12,-4,17000
-4,-4,1699,1699,8,1,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
1998,2008,1700,1700,4,1,1,80500,12,75300,12,-5,-5,80000,12,90100,12,-4,36000
-4,-4,1701,1700,4,1,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2004,2012,1702,1702,4,1,1,120000,13,-5,-5,115000,13,110000,13,110000,13,-4,130000
2004,2014,1703,1703,8,1,2,-1,17,-1,17,-1,17,-1,17,-1,17,-4,-3
2004,2014,1704,1704,8,1,2,33256,12,25000,12,104000,12,170000,12,112000,12,-5,-5
-4,2018,1705,1704,8,1,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-4,-3
2000,2010,1706,1706,1,3,1,-5,-5,85000,12,-1,12,56729,12,-5,-5,-4,90000
2000,2010,1707,1707,5,3,2,454737,16,440692,16,-1,16,595986,16,-1,16,-4,388000
2000,2008,1708,1708,1,3,1,-2,20,-2,20,37400,20,45600,20,49260,20,-4,405500
-4,-4,1709,1709,1,3,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
1998,2008,1710,1709,1,3,1,79000,16,95000,16,74587,16,77331,16,103636,16,-4,89903
2002,2010,1711,1711,5,3,2,-2,14,25674,14,22409,14,35577,14,37966,14,-4,-3
1998,2008,1712,1711,5,3,2,63183,18,69580,18,63414,18,61600,18,61565,18,-4,89044
-4,2008,1713,1713,7,2,2,165000,20,0,20,-2,20,17252,20,9200,20,20,9500
1998,2008,1714,1714,7,2,2,8908,14,22453,14,9624,14,10088,14,24984,14,-4,10075
-4,-4,1715,1715,3,2,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
-4,-4,1716,1716,7,2,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2006,2012,1717,1716,3,2,1,96150,13,87000,13,100000,13,106000,13,-5,-5,-4,64912
2000,2010,1718,1716,3,2,1,176000,13,-2,13,-2,13,186000,13,90500,13,-4,-3
1998,2008,1719,1719,7,2,2,200000,18,-5,-5,-5,-5,-1,18,180000,18,-5,-5
2002,2010,1720,1719,7,2,2,120000,16,145000,16,119000,16,141000,16,155000,16,-4,310000
2000,2008,1721,1721,4,1,1,81000,12,100000,12,100000,12,120000,12,126900,12,-4,142800
-4,-4,1722,1721,8,1,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2002,-4,1723,1721,8,1,2,-5,-5,47200,16,-5,-5,-5,-5,-5,-5,-5,-5
2004,2014,1724,1721,4,1,1,145000,12,-5,-5,176000,12,260000,12,-2,12,-5,-5
2002,2012,1725,1725,5,3,2,31800,11,65915,11,20400,11,10714,11,5028,11,-4,300
-4,-4,1726,1726,5,3,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2004,2014,1727,1726,5,3,2,250000,12,440692,12,125000,12,150000,12,-2,12,-4,200000
1998,-4,1728,1728,4,1,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2000,2010,1729,1729,8,1,2,-2,10,-2,12,-2,10,2400,10,-2,10,-4,11328
1998,2008,1730,1730,5,3,2,58200,17,53200,17,54000,17,-5,-5,68282,18,-5,-5
-4,-4,1731,1731,1,3,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2000,-4,1732,1732,5,3,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2002,2012,1733,1732,5,3,2,454737,16,440692,16,497763,16,595986,16,263000,16,-4,202500
2004,2012,1734,1732,5,3,2,178400,17,79366,17,115000,17,-5,-5,-5,-5,-5,-5
2000,2010,1735,1735,5,3,2,92000,17,49176,17,-1,17,68944,17,78000,17,-4,-3
2004,2014,1736,1735,5,3,2,150000,17,200000,17,153000,17,1800,17,35000,17,-4,90000
2002,2012,1737,1737,8,1,2,-2,17,-2,17,-2,17,-2,17,47000,17,-4,50000
-4,-4,1738,1738,5,3,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2000,2010,1739,1739,1,3,1,33440,15,48000,15,53000,15,60000,15,70000,15,-4,52000
1998,2008,1740,1739,5,3,2,160000,16,-2,16,160000,16,-2,16,224000,16,-4,229000
-4,2012,1741,1741,1,3,1,-5,-5,25000,10,17507,10,22000,10,-5,-5,-5,-5
2002,2010,1742,1742,1,3,1,140500,13,146500,13,210200,13,280150,13,130000,13,-4,150000
-4,-4,1743,1743,1,3,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2002,2010,1744,1744,1,3,1,63020,13,144000,13,150000,13,99000,13,60000,13,-4,90100
2004,2014,1745,1745,5,3,2,69000,17,138000,17,-2,17,136000,17,138000,17,-4,149000
1998,2008,1746,1746,1,3,1,250000,19,440692,19,497763,19,595986,19,335000,19,-4,385500
1998,2008,1747,1747,5,3,2,15800,13,31067,13,35000,13,17540,13,13000,13,-4,-3
-4,-4,1748,1747,1,3,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
-4,2010,1749,1749,7,2,2,-5,-5,29340,12,0,12,-5,-5,-5,-5,-5,-5
2000,2010,1750,1750,4,1,1,110000,12,40480,12,-2,12,42000,12,44400,12,-4,42000
2002,2010,1751,1750,8,1,2,34000,13,40000,13,38000,13,-2,13,45000,13,-4,45000
2004,-4,1752,1750,8,1,2,21440,12,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
-4,-4,1753,1753,3,2,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2000,2010,1754,1753,7,2,2,10800,12,31200,12,60800,12,-2,12,-2,12,-4,12000
2002,2012,1755,1753,3,2,1,-2,12,147568,12,38900,12,15120,12,15408,13,11,16800
2004,2016,1756,1756,4,1,1,100000,12,-5,-5,497763,12,-5,-5,250000,12,-5,-5
-4,-4,1757,1757,7,2,2,-5,-5,-5,-5,-5,-5,0,12,-5,-5,-5,-5
2004,2014,1758,1758,7,2,2,38000,15,38000,15,53000,15,54000,15,63000,15,16,56000
2002,2012,1759,1759,3,2,1,52000,13,-1,13,-2,13,20300,13,-2,13,-4,-3
2000,2010,1760,1760,7,2,2,-2,15,-2,15,-2,15,108000,15,62000,15,-4,42000
-4,-4,1761,1761,1,3,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2002,-4,1762,1761,1,3,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2002,2012,1763,1763,4,1,1,131000,16,127300,16,140000,16,140000,16,72000,16,-4,81000
2006,-4,1764,1764,1,3,1,-1,11,46336,11,-5,-5,-5,-5,-5,-5,-5,-5
2002,2010,1765,1765,1,3,1,65000,16,75000,16,75500,16,92000,16,107020,16,-4,113200
2000,2008,1766,1765,5,3,2,20000,16,16000,16,34000,16,46000,16,68000,16,-4,60000
-4,-4,1767,1765,1,3,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2002,2012,1768,1768,5,3,2,17000,12,24000,12,41000,12,32000,12,28000,12,-4,16000
2004,2014,1769,1768,5,3,2,57050,12,60056,12,69965,12,75080,12,66000,12,-4,152550
